ability,games,Description
Magic Bounce,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Reflects status moves, instead of getting hit by them."
Magic Bounce,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Reflects status moves instead of getting hit by them.
Magic Bounce,"['Scarlet', 'Violet']",The Pokémon reflects status moves instead of getting hit by them.
Plus,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Powers up with MINUS.
Plus,"['Diamond', 'Pearl', 'Platinum']",Boosts Sp. Atk if another Pokémon has Minus.
Plus,"['HeartGold', 'SoulSilver']",Ups Sp. Atk if another Pokémon has Minus.
Plus,"['Black', 'White', 'Black 2', 'White 2']",Ups Sp. Atk if another Pokémon has Plus or Minus.
Plus,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Sp. Atk stat if another Pokémon has Plus or Minus.
Plus,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
Plus,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
Plus,"['Scarlet', 'Violet']",Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
Huge Power,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Raises ATTACK.
Huge Power,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Raises the Pokémon’s Attack stat.
Huge Power,"['Black', 'White', 'Black 2', 'White 2']",Raises the Pokémon’s Attack stat.
Huge Power,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Pokémon’s Attack stat.
Huge Power,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Doubles the Pokémon’s Attack stat.
Huge Power,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Doubles the Pokémon’s Attack stat.
Huge Power,"['Scarlet', 'Violet']",Doubles the Pokémon’s Attack stat.
Sap Sipper,"['Black', 'White', 'Black 2', 'White 2']",Boosts Attack when hit by a Grass-type move.
Sap Sipper,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Attack stat when hit by a Grass-type move.
Sap Sipper,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Boosts the Attack stat if hit by a Grass-type move, instead of taking damage."
Sap Sipper,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Boosts the Attack stat if hit by a Grass-type move instead of taking damage.
Sap Sipper,"['Scarlet', 'Violet']","The Pokémon takes no damage when hit by Grass-type moves. Instead, its Attack stat is boosted."
Drizzle,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Summons rain in battle.
Drizzle,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon makes it rain if it appears in battle.
Drizzle,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon makes it rain if it appears in battle.
Drizzle,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon makes it rain when it enters a battle.
Drizzle,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon makes it rain when it enters a battle.
Drizzle,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon makes it rain when it enters a battle.
Drizzle,"['Scarlet', 'Violet']",The Pokémon makes it rain when it enters a battle.
Speed Boost,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Gradually boosts SPEED.
Speed Boost,"['Diamond', 'Pearl', 'Platinum']",The Pokémon’s Speed stat is gradually boosted.
Speed Boost,"['HeartGold', 'SoulSilver']",Its Speed stat is gradually boosted.
Speed Boost,"['Black', 'White', 'Black 2', 'White 2']",Its Speed stat is gradually boosted.
Speed Boost,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Its Speed stat is gradually boosted.
Speed Boost,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Its Speed stat is boosted every turn.
Speed Boost,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Its Speed stat is boosted every turn.
Speed Boost,"['Scarlet', 'Violet']",The Pokémon’s Speed stat is boosted every turn.
Prankster,"['Black', 'White', 'Black 2', 'White 2']",Gives priority to a status move.
Prankster,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Gives priority to a status move.
Prankster,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Gives priority to a status move.
Prankster,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Gives priority to a status move.
Prankster,"['Scarlet', 'Violet']",Gives priority to the Pokémon’s status moves.
Shadow Tag,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents the foe’s escape.
Shadow Tag,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Prevents the foe from escaping.
Shadow Tag,"['Black', 'White', 'Black 2', 'White 2']",Prevents the foe from escaping.
Shadow Tag,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Prevents opposing Pokémon from escaping.
Shadow Tag,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",This Pokémon steps on the opposing Pokémon’s shadow to prevent it from escaping.
Shadow Tag,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",This Pokémon steps on the opposing Pokémon’s shadow to prevent it from escaping.
Shadow Tag,"['Scarlet', 'Violet']",The Pokémon steps on the opposing Pokémon’s shadows to prevent them from fleeing or switching out.
Telepathy,"['Black', 'White', 'Black 2', 'White 2']",Anticipates an ally’s attack and dodges it.
Telepathy,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Anticipates an ally’s attack and dodges it.
Telepathy,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Anticipates an ally’s attack and dodges it.
Telepathy,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Anticipates an ally’s attack and dodges it.
Telepathy,"['Scarlet', 'Violet']",The Pokémon anticipates and dodges the attacks of its allies.
Light Metal,"['Black', 'White', 'Black 2', 'White 2']",Halves the Pokémon’s weight.
Light Metal,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Halves the Pokémon’s weight.
Light Metal,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Halves the Pokémon’s weight.
Light Metal,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Halves the Pokémon’s weight.
Light Metal,"['Scarlet', 'Violet']",Halves the Pokémon’s weight.
Contrary,"['Black', 'White', 'Black 2', 'White 2']",Makes stat changes have an opposite effect.
Contrary,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Makes stat changes have an opposite effect.
Contrary,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Makes stat changes have an opposite effect.
Contrary,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Makes stat changes have an opposite effect.
Contrary,"['Scarlet', 'Violet']",Reverses any stat changes affecting the Pokémon so that attempts to boost its stats instead lower them— and attempts to lower its stats will boost them.
Pickpocket,"['Black', 'White', 'Black 2', 'White 2']",Steals an item when hit by another Pokémon.
Pickpocket,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Steals an item from an attacker that made direct contact.
Pickpocket,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Steals an item from an attacker that made direct contact.
Pickpocket,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Steals an item from an attacker that made direct contact.
Pickpocket,"['Scarlet', 'Violet']",The Pokémon steals the held item from attackers that make direct contact with it.
Honey Gather,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon may gather Honey from somewhere.
Honey Gather,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon may gather Honey from somewhere.
Honey Gather,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon may gather Honey from somewhere.
Honey Gather,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon may gather Honey after a battle.
Honey Gather,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon may gather Honey after a battle.
Honey Gather,"['Scarlet', 'Violet']",The Pokémon may gather Honey after a battle.
Magma Armor,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents freezing.
Magma Armor,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Prevents the Pokémon from becoming frozen.
Magma Armor,"['Black', 'White', 'Black 2', 'White 2']",Prevents the Pokémon from becoming frozen.
Magma Armor,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Prevents the Pokémon from becoming frozen.
Magma Armor,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The Pokémon is covered with hot magma, which prevents the Pokémon from becoming frozen."
Magma Armor,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The Pokémon is covered with hot magma, which prevents the Pokémon from becoming frozen."
Magma Armor,"['Scarlet', 'Violet']",The Pokémon’s hot magma coating prevents it from being frozen.
Moody,"['Black', 'White', 'Black 2', 'White 2']",Raises one stat and lowers another.
Moody,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Raises one stat and lowers another.
Moody,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Raises one stat sharply and lowers another every turn.
Moody,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Raises one stat sharply and lowers another every turn.
Moody,"['Scarlet', 'Violet']","Every turn, one of the Pokémon’s stats will be boosted sharply but another stat will be lowered."
Suction Cups,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Firmly anchors the body.
Suction Cups,"['Diamond', 'Pearl', 'Platinum']",Negates moves that force switching out.
Suction Cups,"['HeartGold', 'SoulSilver']",Negates foes’ moves that force switching out.
Suction Cups,"['Black', 'White', 'Black 2', 'White 2']",Negates all moves that force switching out.
Suction Cups,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Negates all moves and items that force switching out.
Suction Cups,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.
Suction Cups,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.
Suction Cups,"['Scarlet', 'Violet']",The Pokémon uses suction cups to stay in one spot. This protects it from moves and items that would force it to switch out.
Sand Stream,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Summons a sandstorm.
Sand Stream,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon summons a sandstorm in battle.
Sand Stream,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon summons a sandstorm in battle.
Sand Stream,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon summons a sandstorm in battle.
Sand Stream,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon summons a sandstorm when it enters a battle.
Sand Stream,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon summons a sandstorm when it enters a battle.
Sand Stream,"['Scarlet', 'Violet']",The Pokémon summons a sandstorm when it enters a battle.
Poison Heal,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Restores HP if the Pokémon is poisoned.
Poison Heal,"['Black', 'White', 'Black 2', 'White 2']",Restores HP if the Pokémon is poisoned.
Poison Heal,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Restores HP if the Pokémon is poisoned.
Poison Heal,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Restores HP if the Pokémon is poisoned, instead of losing HP."
Poison Heal,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Restores HP if the Pokémon is poisoned instead of losing HP.
Poison Heal,"['Scarlet', 'Violet']","If poisoned, the Pokémon has its HP restored instead of taking damage."
Truant,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Moves only every two turns.
Truant,"['Diamond', 'Pearl', 'Platinum']",The Pokémon can’t attack on consecutive turns.
Truant,"['HeartGold', 'SoulSilver']",Pokémon can’t attack on consecutive turns.
Truant,"['Black', 'White', 'Black 2', 'White 2']",Pokémon can’t attack on consecutive turns.
Truant,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon can’t attack on consecutive turns.
Truant,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon can’t use a move the following turn if it uses one.
Truant,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon can’t use a move if it had used a move on the previous turn.
Truant,"['Scarlet', 'Violet']","Each time the Pokémon uses a move, it spends the next turn loafing around."
Wonder Guard,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",“Super effective” hits.
Wonder Guard,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Only supereffective moves will hit.
Wonder Guard,"['Black', 'White', 'Black 2', 'White 2']",Only supereffective moves will hit.
Wonder Guard,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Only supereffective moves will hit.
Wonder Guard,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Its mysterious power only lets supereffective moves hit the Pokémon.
Wonder Guard,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Its mysterious power only lets supereffective moves hit the Pokémon.
Wonder Guard,"['Scarlet', 'Violet']",Its mysterious power only lets supereffective moves hit the Pokémon.
Normalize,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",All the Pokémon’s moves become the Normal type.
Normalize,"['Black', 'White', 'Black 2', 'White 2']",All the Pokémon’s moves become the Normal type.
Normalize,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",All the Pokémon’s moves become Normal type.
Normalize,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",All the Pokémon’s moves become Normal type. The power of those moves is boosted a little.
Normalize,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",All the Pokémon’s moves become Normal type. The power of those moves is boosted a little.
Normalize,"['Scarlet', 'Violet']",All the Pokémon’s moves become Normal type. The power of those moves is boosted a little.
Stall,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon moves after even slower foes.
Stall,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon moves after all other Pokémon do.
Stall,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon moves after all other Pokémon do.
Stall,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon moves after all other Pokémon do.
Stall,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon moves after all other Pokémon do.
Stall,"['Scarlet', 'Violet']",The Pokémon is always the last to use its moves.
Heavy Metal,"['Black', 'White', 'Black 2', 'White 2']",Doubles the Pokémon’s weight.
Heavy Metal,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Doubles the Pokémon’s weight.
Heavy Metal,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Doubles the Pokémon’s weight.
Heavy Metal,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Doubles the Pokémon’s weight.
Heavy Metal,"['Scarlet', 'Violet']",Doubles the Pokémon’s weight.
Pure Power,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Raises ATTACK.
Pure Power,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Boosts the power of physical attacks.
Pure Power,"['Black', 'White', 'Black 2', 'White 2']",Raises the Pokémon’s Attack stat.
Pure Power,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Pokémon’s Attack stat.
Pure Power,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Using its pure power, the Pokémon doubles its Attack stat."
Pure Power,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","Using its pure power, the Pokémon doubles its Attack stat."
Pure Power,"['Scarlet', 'Violet']","Using its pure power, the Pokémon doubles its Attack stat."
Minus,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Powers up with PLUS.
Minus,"['Diamond', 'Pearl', 'Platinum']",Boosts Sp. Atk if another Pokémon has Plus.
Minus,"['HeartGold', 'SoulSilver']",Ups Sp. Atk if another Pokémon has Plus.
Minus,"['Black', 'White', 'Black 2', 'White 2']",Ups Sp. Atk if another Pokémon has Plus or Minus.
Minus,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Sp. Atk stat if another Pokémon has Plus or Minus.
Minus,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
Minus,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
Minus,"['Scarlet', 'Violet']",Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
Rough Skin,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Hurts to touch.
Rough Skin,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Inflicts damage to the foe on contact.
Rough Skin,"['Black', 'White', 'Black 2', 'White 2']",Inflicts damage to the attacker on contact.
Rough Skin,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Inflicts damage to the attacker on contact.
Rough Skin,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",This Pokémon inflicts damage with its rough skin to the attacker on contact.
Rough Skin,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",This Pokémon inflicts damage with its rough skin to the attacker on contact.
Rough Skin,"['Scarlet', 'Violet']",The Pokémon’s rough skin damages attackers that make direct contact with it.
Simple,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon is prone to wild stat changes.
Simple,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon is prone to wild stat changes.
Simple,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon is prone to wild stat changes.
Simple,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The stat changes the Pokémon receives are doubled.
Simple,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The stat changes the Pokémon receives are doubled.
Simple,"['Scarlet', 'Violet']",Doubles the effects of the Pokémon’s stat changes.
Solid Rock,"['Diamond', 'Pearl', 'Platinum']",Powers down supereffective moves.
Solid Rock,"['HeartGold', 'SoulSilver']",Reduces damage from supereffective attacks
Solid Rock,"['Black', 'White', 'Black 2', 'White 2']",Reduces damage from supereffective attacks.
Solid Rock,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Reduces damage from supereffective attacks.
Solid Rock,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Reduces the power of supereffective attacks taken.
Solid Rock,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Reduces the power of supereffective attacks taken.
Solid Rock,"['Scarlet', 'Violet']",Reduces the power of supereffective attacks that hit the Pokémon.
White Smoke,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents ability reduction.
White Smoke,"['Diamond', 'Pearl', 'Platinum']",Prevents the Pokémon’s stats from being lowered.
White Smoke,"['HeartGold', 'SoulSilver']",Prevents its stats from being lowered.
White Smoke,"['Black', 'White', 'Black 2', 'White 2']",Prevents other Pokémon from lowering its stats.
White Smoke,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Prevents other Pokémon from lowering its stats.
White Smoke,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats."
White Smoke,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats."
White Smoke,"['Scarlet', 'Violet']","The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats."
Toxic Boost,"['Black', 'White', 'Black 2', 'White 2']",Powers up physical attacks when poisoned.
Toxic Boost,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Powers up physical attacks when the Pokémon is poisoned.
Toxic Boost,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Powers up physical attacks when the Pokémon is poisoned.
Toxic Boost,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Powers up physical attacks when the Pokémon is poisoned.
Toxic Boost,"['Scarlet', 'Violet']",Powers up physical moves when the Pokémon is poisoned.
Storm Drain,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon draws in all Water-type moves.
Storm Drain,"['Black', 'White', 'Black 2', 'White 2']",Draws in all Water-type moves to up Sp. Attack.
Storm Drain,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Draws in all Water-type moves to boost its Sp. Atk stat.
Storm Drain,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk."
Storm Drain,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk."
Storm Drain,"['Scarlet', 'Violet']","The Pokémon draws in all Water-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted."
Forecast,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Changes with the weather.
Forecast,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",CASTFORM transforms with the weather.
Forecast,"['Black', 'White', 'Black 2', 'White 2']",Castform transforms with the weather.
Forecast,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Castform transforms with the weather.
Forecast,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The Pokémon transforms with the weather to change its type to Water, Fire, or Ice."
Forecast,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The Pokémon transforms with the weather to change its type to Water, Fire, or Ice."
Forecast,"['Scarlet', 'Violet']","The Pokémon transforms with the weather to change its type to Water, Fire, or Ice."
Color Change,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Changes type to foe’s move.
Color Change,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Changes the Pokémon’s type to the foe’s move.
Color Change,"['Black', 'White', 'Black 2', 'White 2']",Changes the Pokémon’s type to the foe’s move.
Color Change,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon’s type becomes the type of the move used on it.
Color Change,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon’s type becomes the type of the move used on it.
Color Change,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon’s type becomes the type of the move used on it.
Color Change,"['Scarlet', 'Violet']",The Pokémon’s type becomes the type of the move used on it.
Protean,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Changes the Pokémon’s type to the type of the move it’s using.
Protean,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Changes the Pokémon’s type to the type of the move it’s about to use.
Protean,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Changes the Pokémon’s type to the type of the move it’s about to use.
Protean,"['Scarlet', 'Violet']",Changes the Pokémon’s type to the type of the move it’s about to use. This works only once each time the Pokémon enters battle.
Air Lock,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Negates weather effects.
Air Lock,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Eliminates the effects of weather.
Air Lock,"['Black', 'White', 'Black 2', 'White 2']",Eliminates the effects of weather.
Air Lock,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Eliminates the effects of weather.
Air Lock,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Eliminates the effects of weather.
Air Lock,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Eliminates the effects of weather.
Air Lock,"['Scarlet', 'Violet']",Eliminates the effects of weather.
Flower Gift,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Powers up party Pokémon when it is sunny.
Flower Gift,"['Black', 'White', 'Black 2', 'White 2']",Powers up party Pokémon when it is sunny.
Flower Gift,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Powers up party Pokémon when it is sunny.
Flower Gift,"['Sun', 'Moon']",Boosts the Attack and Sp. Def stats of itself and allies when it is sunny.
Flower Gift,"['Ultra Sun', 'Ultra Moon']",Boosts the Attack and Sp. Def stats of itself and allies in harsh sunlight.
Flower Gift,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Boosts the Attack and Sp. Def stats of itself and allies in harsh sunlight.
Flower Gift,"['Scarlet', 'Violet']",Boosts the Attack and Sp. Def stats of the Pokémon and its allies in harsh sunlight.
Flare Boost,"['Black', 'White', 'Black 2', 'White 2']",Powers up special attacks when burned.
Flare Boost,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Powers up special attacks when the Pokémon is burned.
Flare Boost,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Powers up special attacks when the Pokémon is burned.
Flare Boost,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Powers up special attacks when the Pokémon is burned.
Flare Boost,"['Scarlet', 'Violet']",Powers up special moves when the Pokémon is burned.
Klutz,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon can’t use any held items.
Klutz,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon can’t use any held items.
Klutz,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon can’t use any held items.
Klutz,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon can’t use any held items.
Klutz,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon can’t use any held items.
Klutz,"['Scarlet', 'Violet']",The Pokémon can’t use any held items.
Heatproof,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Weakens the power of Fire-type moves.
Heatproof,"['Black', 'White', 'Black 2', 'White 2']",Weakens the power of Fire-type moves.
Heatproof,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Weakens the power of Fire-type moves.
Heatproof,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The heatproof body of the Pokémon halves the damage from Fire-type moves that hit it.
Heatproof,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The heatproof body of the Pokémon halves the damage from Fire-type moves that hit it.
Heatproof,"['Scarlet', 'Violet']",The Pokémon’s heatproof body halves the damage taken from Fire-type moves.
Snow Warning,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon summons a hailstorm in battle.
Snow Warning,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon summons a hailstorm in battle.
Snow Warning,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon summons a hailstorm when it enters a battle.
Snow Warning,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon summons a hailstorm when it enters a battle.
Snow Warning,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon summons a hailstorm when it enters a battle.
Snow Warning,"['Scarlet', 'Violet']",The Pokémon makes it snow when it enters a battle.
Motor Drive,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Raises Speed if hit by an Electric-type move.
Motor Drive,"['Black', 'White', 'Black 2', 'White 2']",Raises Speed if hit by an Electric-type move.
Motor Drive,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Speed stat when it’s hit by an Electric-type move.
Motor Drive,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Boosts its Speed stat if hit by an Electric-type move, instead of taking damage."
