name,effect,cathegory
TM027,Teaches the move Fissure/Return/Toxic/Icy Wind/Low Sweep/Aerial Ace.,Machines
TM028,Teaches the move Dig/Leech Life/Tri Attack/Giga Drain/Bulldoze.,Machines
TM029,Teaches the move Psychic/Scald/Charm/Hex.,Machines
TM030,Teaches the move Teleport/Shadow Ball/Bulk Up/Steel Wing/Snarl.,Machines
TM031,Teaches the move Mimic/Mud-Slap/Brick Break/Fire Punch/Attract/Metal Claw.,Machines
TM032,Teaches the move Double Team/Dazzling Gleam/Sandstorm/Swift.,Machines
TM033,Teaches the move Ice Punch/Reflect/Calm Mind/Rain Dance/Magical Leaf.,Machines
TM034,Teaches the move Bide/Swagger/Shock Wave/Sludge Wave/Dragon Pulse/Sunny Day/Icy Wind.,Machines
TM035,Teaches the move Metronome/Sleep Talk/Flamethrower/Ice Punch/Hail/Mud Shot.,Machines
TM036,Teaches the move Self-Destruct/Sludge Bomb/Thunderbolt/Whirlpool/Rock Tomb.,Machines
TM037,Teaches the move Egg Bomb/Sandstorm/Flamethrower/Beat Up/Draining Kiss.,Machines
TM038,Teaches the move Fire Blast/Thunder/Will-O-Wisp/Flame Charge.,Machines
TM039,Teaches the move Swift/Rock Tomb/Outrage/Facade/Low Sweep.,Machines
TM040,Teaches the move Skull Bash/Defense Curl/Aerial Ace/Psychic/Swift/Air Cutter.,Machines
TM041,Teaches the move Soft-Boiled/Thunder Punch/Torment/Earthquake/Helping Hand/Stored Power.,Machines
TM042,Teaches the move Dream Eater/Facade/Self-Destruct/Revenge/Night Shade.,Machines
TM043,Teaches the move Sky Attack/Detect/Secret Power/Flame Charge/Shadow Ball/Brick Break/Volt Switch/Fling.,Machines
TM044,Teaches the move Rest/Play Rough/Imprison/Dragon Tail.,Machines
TM045,Teaches the move Thunder Wave/Attract/Solar Beam/Dive/Venoshock.,Machines
TM046,Teaches the move Psywave/Thief/Fire Blast/Weather Ball/Avalanche.,Machines
TM047,Teaches the move Explosion/Steel Wing/Low Sweep/Surf/Fake Tears/Endure.,Machines
TM048,Teaches the move Rock Slide/Fire Punch/Skill Swap/Round/Hyper Beam/Rock Tomb/Volt Switch.,Machines
TM049,Teaches the move Tri Attack/Fury Cutter/Snatch/Echoed Voice/Superpower/Sand Tomb/Scald/Sunny Day.,Machines
TM050,Teaches the move Substitute/Nightmare/Overheat/Roost/Bullet Seed/Rain Dance.,Machines
TM051,Teaches the move Roost/Ally Switch/Steel Wing/Blizzard/Icicle Spear/Sandstorm.,Machines
TM052,Teaches the move Focus Blast/Sludge Bomb/Bounce/Snowscape.,Machines
TM053,Teaches the move Energy Ball/Mega Drain/Mud Shot/Smart Strike.,Machines
TM054,Teaches the move False Swipe/Flash Cannon/Rock Blast/Psyshock.,Machines
TM055,Teaches the move Brine/Scald/Ice Beam/Dig.,Machines
TM056,Teaches the move Fling/Stealth Rock/U-turn/Bullet Seed.,Machines
TM057,Teaches the move Charge Beam/Pay Day/Payback/False Swipe.,Machines
TM058,Teaches the move Endure/Sky Drop/Drill Run/Assurance/Brick Break.,Machines
TM059,Teaches the move Dragon Pulse/Incinerate/Brutal Swing/Dream Eater/Fling/Zen Headbutt.,Machines
TM060,Teaches the move Drain Punch/Quash/Megahorn/Power Swap/U-turn.,Machines
TM061,Teaches the move Will-O-Wisp/Guard Swap/Shadow Claw.,Machines
TM062,Teaches the move Silver Wind/Acrobatics/Speed Swap/Bug Buzz/Foul Play.,Machines
TM063,Teaches the move Embargo/Drain Punch/Nasty Plot/Psychic Fangs.,Machines
TM064,Teaches the move Explosion/Avalanche/Bulk Up.,Machines
TM065,Teaches the move Shadow Claw/Air Slash.,Machines
TM066,Teaches the move Payback/Thunder Fang/Body Slam.,Machines
TM067,Teaches the move Recycle/Retaliate/Smart Strike/Ice Fang/Fire Punch.,Machines
TM068,Teaches the move Giga Impact/Fire Fang/Thunder Punch.,Machines
TM069,Teaches the move Rock Polish/Psycho Cut/Ice Punch.,Machines
TM070,Teaches the move Flash/Aurora Veil/Trick Room/Sleep Talk.,Machines
TM071,Teaches the move Stone Edge/Wonder Room/Seed Bomb.,Machines
TM072,Teaches the move Avalanche/Volt Switch/Magic Room/Electro Ball.,Machines
TM073,Teaches the move Thunder Wave/Cross Poison/Drain Punch.,Machines
TM074,Teaches the move Gyro Ball/Venoshock/Reflect.,Machines
TM075,Teaches the move Swords Dance/Low Sweep/Light Screen.,Machines
TM076,Teaches the move Stealth Rock/Struggle Bug/Fly/Round/Rock Blast.,Machines
TM077,Teaches the move Psych Up/Hex/Waterfall.,Machines
TM078,Teaches the move Captivate/Bulldoze/Acrobatics/Snarl/Dragon Claw.,Machines
TM079,Teaches the move Dark Pulse/Frost Breath/Retaliate/Dazzling Gleam.,Machines
TM080,Teaches the move Rock Slide/Volt Switch/Metronome.,Machines
TM081,Teaches the move X-Scissor/Bulldoze/Grass Knot.,Machines
TM082,Teaches the move Sleep Talk/Dragon Tail/Electroweb/Thunder Wave.,Machines
TM083,Teaches the move Natural Gift/Work Up/Infestation/Razor Shell/Bulldoze/Poison Jab.,Machines
TM084,Teaches the move Poison Jab/Tail Slap/Stomping Tantrum.,Machines
TM085,Teaches the move Dream Eater/Snarl/Rest.,Machines
TM086,Teaches the move Grass Knot/Phantom Force/Rock Slide.,Machines
TM087,Teaches the move Swagger/Draining Kiss/Taunt.,Machines
TM088,Teaches the move Pluck/Sleep Talk/Grassy Terrain/Swords Dance.,Machines
TM089,Teaches the move U-turn/Misty Terrain/Body Press.,Machines
TM090,Teaches the move Substitute/Electric Terrain/Spikes.,Machines
TM091,Teaches the move Flash Cannon/Psychic Terrain/Toxic Spikes.,Machines
TM092,Teaches the move Trick Room/Mystical Fire/Imprison.,Machines
TM093,Teaches the move Wild Charge/Eerie Impulse/Cut/Flash Cannon.,Machines
TM094,Teaches the move Rock Smash/Surf/False Swipe/Fly/Dark Pulse.,Machines
TM095,Teaches the move Snarl/Air Slash/Surf/Leech Life.,Machines
TM096,Teaches the move Nature Power/Smart Strike/Strength/Eerie Impulse.,Machines
TM097,Teaches the move Dark Pulse/Brutal Swing/Defog/Fly.,Machines
TM098,Teaches the move Power-Up Punch/Waterfall/Stomping Tantrum/Rock Smash/Skill Swap.,Machines
TM099,Teaches the move Dazzling Gleam/Breaking Swipe/Waterfall/Iron Head.,Machines
TM100,Teaches the move Confide/Rock Climb/Dragon Dance.,Machines
TM101,Teaches the move Power Gem.,Machines
TM102,Teaches the move Gunk Shot.,Machines
TM103,Teaches the move Substitute.,Machines
TM104,Teaches the move Iron Defense.,Machines
TM105,Teaches the move X-Scissor.,Machines
TM106,Teaches the move Drill Run.,Machines
TM107,Teaches the move Will-O-Wisp.,Machines
TM108,Teaches the move Crunch.,Machines
TM109,Teaches the move Trick.,Machines
TM110,Teaches the move Liquidation.,Machines
TM111,Teaches the move Giga Drain.,Machines
TM112,Teaches the move Aura Sphere.,Machines
TM113,Teaches the move Tailwind.,Machines
TM114,Teaches the move Shadow Ball.,Machines
TM115,Teaches the move Dragon Pulse.,Machines
TM116,Teaches the move Stealth Rock.,Machines
TM117,Teaches the move Hyper Voice.,Machines
TM118,Teaches the move Heat Wave.,Machines
TM119,Teaches the move Energy Ball.,Machines
TM120,Teaches the move Psychic.,Machines
TM121,Teaches the move Heavy Slam.,Machines
TM122,Teaches the move Encore.,Machines
TM123,Teaches the move Surf.,Machines
TM124,Teaches the move Ice Spinner.,Machines
TM125,Teaches the move Flamethrower.,Machines
TM126,Teaches the move Thunderbolt.,Machines
TM127,Teaches the move Play Rough.,Machines
TM128,Teaches the move Amnesia.,Machines
TM129,Teaches the move Calm Mind.,Machines
TM130,Teaches the move Helping Hand.,Machines
TM131,Teaches the move Pollen Puff.,Machines
TM132,Teaches the move Baton Pass.,Machines
TM133,Teaches the move Earth Power.,Machines
TM134,Teaches the move Reversal.,Machines
TM135,Teaches the move Ice Beam.,Machines
TM136,Teaches the move Electric Terrain.,Machines
TM137,Teaches the move Grassy Terrain.,Machines
TM138,Teaches the move Psychic Terrain.,Machines
TM139,Teaches the move Misty Terrain.,Machines
TM140,Teaches the move Nasty Plot.,Machines
TM141,Teaches the move Fire Blast.,Machines
TM142,Teaches the move Hydro Pump.,Machines
TM143,Teaches the move Blizzard.,Machines
TM144,Teaches the move Fire Pledge.,Machines
TM145,Teaches the move Water Pledge.,Machines
TM146,Teaches the move Grass Pledge.,Machines
TM147,Teaches the move Wild Charge.,Machines
TM148,Teaches the move Sludge Bomb.,Machines
TM149,Teaches the move Earthquake.,Machines
TM150,Teaches the move Stone Edge.,Machines
TM151,Teaches the move Phantom Force.,Machines
TM152,Teaches the move Giga Impact.,Machines
TM153,Teaches the move Blast Burn.,Machines
TM154,Teaches the move Hydro Cannon.,Machines
TM155,Teaches the move Frenzy Plant.,Machines
TM156,Teaches the move Outrage.,Machines
TM157,Teaches the move Overheat.,Machines
TM158,Teaches the move Focus Blast.,Machines
TM159,Teaches the move Leaf Storm.,Machines
TM160,Teaches the move Hurricane.,Machines
TM161,Teaches the move Trick Room.,Machines
TM162,Teaches the move Bug Buzz.,Machines
TM163,Teaches the move Hyper Beam.,Machines
TM164,Teaches the move Brave Bird.,Machines
TM165,Teaches the move Flare Blitz.,Machines
TM166,Teaches the move Thunder.,Machines
TM167,Teaches the move Close Combat.,Machines
TM168,Teaches the move Solar Beam.,Machines
TM169,Teaches the move Draco Meteor.,Machines
TM170,Teaches the move Steel Beam.,Machines
TM171,Teaches the move Tera Blast.,Machines
TM172,Teaches the move Roar.,Machines
TM173,Teaches the move Charge.,Machines
TM174,Teaches the move Haze.,Machines
TM175,Teaches the move Toxic.,Machines
TM176,Teaches the move Sand Tomb.,Machines
TM177,Teaches the move Spite.,Machines
TM178,Teaches the move Gravity.,Machines
TM179,Teaches the move Smack Down.,Machines
TM180,Teaches the move Gyro Ball.,Machines
TM181,Teaches the move Knock Off.,Machines
TM182,Teaches the move Bug Bite.,Machines
TM183,Teaches the move Super Fang.,Machines
TM184,Teaches the move Vacuum Wave.,Machines
TM185,Teaches the move Lunge.,Machines
TM186,Teaches the move High Horsepower.,Machines
TM187,Teaches the move Icicle Spear.,Machines
TM188,Teaches the move Scald.,Machines
TM189,Teaches the move Heat Crash.,Machines
TM190,Teaches the move Solar Blade.,Machines
TM191,Teaches the move Uproar.,Machines
TM192,Teaches the move Focus Punch.,Machines
TM193,Teaches the move Weather Ball.,Machines
TM194,Teaches the move Grassy Glide.,Machines
TM195,Teaches the move Burning Jealousy.,Machines
TM196,Teaches the move Flip Turn.,Machines
TM197,Teaches the move Dual Wingbeat.,Machines
TM198,Teaches the move Poltergeist.,Machines
TM199,Teaches the move Lash Out.,Machines
TM200,Teaches the move Scale Shot.,Machines
TM201,Teaches the move Misty Explosion.,Machines
TM202,Teaches the move Pain Split.,Machines
TM203,Teaches the move Psych Up.,Machines
TM204,Teaches the move Double-Edge.,Machines
TM205,Teaches the move Endeavor.,Machines
TM206,Teaches the move Petal Blizzard.,Machines
TM207,Teaches the move Temper Flare.,Machines
TM208,Teaches the move Whirlpool.,Machines
TM209,Teaches the move Muddy Water.,Machines
TM210,Teaches the move Supercell Slam.,Machines
TM211,Teaches the move Electroweb.,Machines
TM212,Teaches the move Triple Axel.,Machines
TM213,Teaches the move Coaching.,Machines
TM214,Teaches the move Sludge Wave.,Machines
TM215,Teaches the move Scorching Sands.,Machines
TM216,Teaches the move Feather Dance.,Machines
TM217,Teaches the move Future Sight.,Machines
TM218,Teaches the move Expanding Force.,Machines
TM219,Teaches the move Skitter Smack.,Machines
TM220,Teaches the move Meteor Beam.,Machines
TM221,Teaches the move Throat Chop.,Machines
TM222,Teaches the move Breaking Swipe.,Machines
TM223,Teaches the move Metal Sound.,Machines
TM224,Teaches the move Curse.,Machines
TM225,Teaches the move Hard Press.,Machines
TM226,Teaches the move Dragon Cheer.,Machines
TM227,Teaches the move Alluring Voice.,Machines
TM228,Teaches the move Psychic Noise.,Machines
TM229,Teaches the move Upper Hand.,Machines
TMV Pass,A commuter pass that allows the holder to ride the TMV between Lumiose City and Kiloude City at any time.,General items
Toedscool Flaps,"Material obtained after defeating/catching Toedscool, used in TM crafting.",General items
Tofu,An ingredient with a touch of sweetness. It’s unclear how well this raw block of tofu will serve as a sandwich filling.,
Tomato,"This very tart ingredient has a lot of savory elements to it, making it popular with many Pokémon.",
Torkoal Coal,"Material obtained after defeating/catching Torkoal, used in TM crafting.",General items
Tough Candy,Increases a Pokémon's Defense stat by 1.,Medicine
Tough Candy L,Increases a Pokémon's Defense stat.,Medicine
Tough Candy XL,Increases a Pokémon's Defense stat.,Medicine
Toxel Sparks,"Material obtained after defeating/catching Toxel, used in TM crafting.",General items
Toxic Orb,An item to be held by a Pokémon. It is a bizarre orb that badly poisons the holder in battle.,Hold items
Toxic Plate,Increases power of Poison-type moves. Changes Arceus' type to Poison.,Hold items
TR00,Teaches the move Swords Dance.,Machines
TR01,Teaches the move Body Slam.,Machines
TR02,Teaches the move Flamethrower.,Machines
TR03,Teaches the move Hydro Pump.,Machines
TR04,Teaches the move Surf.,Machines
TR05,Teaches the move Ice Beam.,Machines
TR06,Teaches the move Blizzard.,Machines
TR07,Teaches the move Low Kick.,Machines
TR08,Teaches the move Thunderbolt.,Machines
TR09,Teaches the move Thunder.,Machines
TR10,Teaches the move Earthquake.,Machines
TR11,Teaches the move Psychic.,Machines
TR12,Teaches the move Agility.,Machines
TR13,Teaches the move Focus Energy.,Machines
TR14,Teaches the move Metronome.,Machines
TR15,Teaches the move Fire Blast.,Machines
TR16,Teaches the move Waterfall.,Machines
TR17,Teaches the move Amnesia.,Machines
TR18,Teaches the move Leech Life.,Machines
TR19,Teaches the move Tri Attack.,Machines
TR20,Teaches the move Substitute.,Machines
TR21,Teaches the move Reversal.,Machines
TR22,Teaches the move Sludge Bomb.,Machines
TR23,Teaches the move Spikes.,Machines
TR24,Teaches the move Outrage.,Machines
TR25,Teaches the move Psyshock.,Machines
TR26,Teaches the move Endure.,Machines
TR27,Teaches the move Sleep Talk.,Machines
TR28,Teaches the move Megahorn.,Machines
TR29,Teaches the move Baton Pass.,Machines
TR30,Teaches the move Encore.,Machines
TR31,Teaches the move Iron Tail.,Machines
TR32,Teaches the move Crunch.,Machines
TR33,Teaches the move Shadow Ball.,Machines
TR34,Teaches the move Future Sight.,Machines
TR35,Teaches the move Uproar.,Machines
TR36,Teaches the move Heat Wave.,Machines
TR37,Teaches the move Taunt.,Machines
TR38,Teaches the move Trick.,Machines
TR39,Teaches the move Superpower.,Machines
TR40,Teaches the move Skill Swap.,Machines
TR41,Teaches the move Blaze Kick.,Machines
TR42,Teaches the move Hyper Voice.,Machines
TR43,Teaches the move Overheat.,Machines
TR44,Teaches the move Cosmic Power.,Machines
TR45,Teaches the move Muddy Water.,Machines
TR46,Teaches the move Iron Defense.,Machines
TR47,Teaches the move Dragon Claw.,Machines
TR48,Teaches the move Bulk Up.,Machines
TR49,Teaches the move Calm Mind.,Machines
TR50,Teaches the move Leaf Blade.,Machines
TR51,Teaches the move Dragon Dance.,Machines
TR52,Teaches the move Gyro Ball.,Machines
TR53,Teaches the move Close Combat.,Machines
TR54,Teaches the move Toxic Spikes.,Machines
TR55,Teaches the move Flare Blitz.,Machines
TR56,Teaches the move Aura Sphere.,Machines
TR57,Teaches the move Poison Jab.,Machines
TR58,Teaches the move Dark Pulse.,Machines
TR59,Teaches the move Seed Bomb.,Machines
TR60,Teaches the move X-Scissor.,Machines
TR61,Teaches the move Bug Buzz.,Machines
TR62,Teaches the move Dragon Pulse.,Machines
TR63,Teaches the move Power Gem.,Machines
TR64,Teaches the move Focus Blast.,Machines
TR65,Teaches the move Energy Ball.,Machines
TR66,Teaches the move Brave Bird.,Machines
TR67,Teaches the move Earth Power.,Machines
TR68,Teaches the move Nasty Plot.,Machines
TR69,Teaches the move Zen Headbutt.,Machines
TR70,Teaches the move Flash Cannon.,Machines
TR71,Teaches the move Leaf Storm.,Machines
TR72,Teaches the move Power Whip.,Machines
TR73,Teaches the move Gunk Shot.,Machines
TR74,Teaches the move Iron Head.,Machines
TR75,Teaches the move Stone Edge.,Machines
TR76,Teaches the move Stealth Rock.,Machines
TR77,Teaches the move Grass Knot.,Machines
TR78,Teaches the move Sludge Wave.,Machines
TR79,Teaches the move Heavy Slam.,Machines
TR80,Teaches the move Electro Ball.,Machines
TR81,Teaches the move Foul Play.,Machines
TR82,Teaches the move Stored Power.,Machines
TR83,Teaches the move Ally Switch.,Machines
TR84,Teaches the move Scald.,Machines
TR85,Teaches the move Work Up.,Machines
TR86,Teaches the move Wild Charge.,Machines
TR87,Teaches the move Drill Run.,Machines
TR88,Teaches the move Heat Crash.,Machines
TR89,Teaches the move Hurricane.,Machines
TR90,Teaches the move Play Rough.,Machines
TR91,Teaches the move Venom Drench.,Machines
TR92,Teaches the move Dazzling Gleam.,Machines
TR93,Teaches the move Darkest Lariat.,Machines
TR94,Teaches the move High Horsepower.,Machines
TR95,Teaches the move Throat Chop.,Machines
TR96,Teaches the move Pollen Puff.,Machines
TR97,Teaches the move Psychic Fangs.,Machines
TR98,Teaches the move Liquidation.,Machines
TR99,Teaches the move Body Press.,Machines
Tropical Shell,,General items
Tropius Leaf,"Material obtained after defeating/catching Tropius, used in TM crafting.",General items
Tumblestone,,General items
Twice-Spiced Radish,,General items
Twisted Spoon,Increases the power of Psychic-type moves.,Hold items
Tynamo Slime,"Material obtained after defeating/catching Tynamo, used in TM crafting.",General items
Tyranitarite,Enables Tyranitar to Mega Evolve during battle.,Hold items
Ultra Ball,Catches wild Pokémon with 2x the rate of a Poké Ball.,Pokeballs
Ultranecrozium Z,"Allows Ultra Necrozma to upgrade Photon Geyser to a Z-Move, Light That Burns the Sky.",Hold items
Unremarkable Teacup,Evolves Poltchageist into Sinistcha.,General items
Upgrade,Evolves Porygon when traded holding the item.,General items
Utility Umbrella,An item to be held by a Pokémon. This sturdy umbrella protects the holder from the effects of weather.,Hold items
Varoom Fume,"Material obtained after defeating/catching Varoom, used in TM crafting.",General items
Vee-Vee Pick,"A pick designed after Eevee, sporting the Pokémon’s usual expression. It’s easy to grab by the ears, which is part of why it’s so popular.",
Veluza Fillet,"Material obtained after defeating/catching Veluza, used in TM crafting.",General items
Venonat Fang,"Material obtained after defeating/catching Venonat, used in TM crafting.",General items
Venusaurite,Enables Venusaur to Mega Evolve during battle.,Hold items
Vinegar,A very sour condiment. Vinegars derived from grapes are popular in Paldea. Highly effective when used to add just a light note of flavor.,
Violet Book,"A record of the expedition that the author, Heath, went on within the Great Crater of Paldea. The book has the name “Turo” written on it in clumsy handwriting.",
Vivichoke,,General items
Voltorb Sparks,"Material obtained after defeating/catching Voltorb, used in TM crafting.",General items
Wacan Berry,Weakens a supereffective Electric-type attack against the holding Pokémon.,Berries
Wasabi,"This very spicy condiment seems close to horseradish at first, but you’ll find that it has a superb flavor all its own.",
Water Gem,Increases the power of a Water-type move only once.,Hold items
Water Memory,Changes Silvally and its move Multi-Attack to Water type.,Hold items
Water Stone,Evolves certain species of Pokémon.,General items
Water Tera Shard,Changes a Pokémon's Tera Type to .,
Watercress,A very bitter ingredient that stands out among veggies for its quirky flavor. People tend to either like it or not like it—they rarely sit on the fence.,
Waterium Z,"Allows the use of Hydro Vortex, the Water type Z-Move.",Hold items
Watmel Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,Berries
Wattrel Feather,"Material obtained after defeating/catching Wattrel, used in TM crafting.",General items
Wave Incense,Increases the power of Water-type moves. Breeding Mantine produces Mantyke when held.,Hold items
Weakness Policy,Sharply raises Attack and Special Attack if hit by a super-effective move.,Hold items
Wepear Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,Berries
Whimsical Tablecloth,A tablecloth made in collaboration with a popular picture-book author. The gently drawn Pokémon make even the loveliest picnic table more charming.,
Whipped Cream,A very sweet condiment. Folks in Paldea seem to love the varieties that really let the sweetness sing.,
Whipped Dream,Evolves Swirlix when traded holding the item.,General items
White Apricorn,A white Apricorn. It doesn't smell like anything.,General items
White Dish,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The white variety comes recommended by sellers.,
White Flute,A toy flute made from white glass. A maniac will buy it for a high price.,General items
White Herb,An item to be held by a POKéMON. It restores any lowered stat in battle. It can be used only once.,Hold items
Wide Lens,Increases the accuracy of moves.,Hold items
Wiglett Sand,"Material obtained after defeating/catching Wiglett, used in TM crafting.",General items
Wiki Berry,"Restores HP if it's low, but may cause confusion.",Berries
Wing Ball,,Pokeballs
Wingull Feather,"Material obtained after defeating/catching Wingull, used in TM crafting.",General items
Winking Pika Pick,"A Pick-achu, if you will, sporting Pikachu’s winking face. It’s easy to grab by the ears, which is part of why it’s so popular.",
Wise Glasses,Increases the power of Special-category moves.,Hold items
Wishing Piece,Activates a Pokémon Den for a Max Raid Battle.,General items
Wood,,General items
Wooper Slime,"Material obtained after defeating/catching Wooper, used in TM crafting.",General items
X Accuracy,Raises Accuracy of a Pokémon in battle.,Battle items
X Accuracy 2,Sharply raises Accuracy of a Pokémon in battle.,Battle items
X Accuracy 3,Drastically raises Accuracy of a Pokémon in battle.,Battle items
X Accuracy 6,Immensely raises Accuracy of a Pokémon in battle.,Battle items
X Attack,Raises Attack of a Pokémon in battle.,Battle items
X Attack 2,Sharply raises Attack of a Pokémon in battle.,Battle items
X Attack 3,Drastically raises Attack of a Pokémon in battle.,Battle items
X Attack 6,Immensely raises Attack of a Pokémon in battle.,Battle items
X Defense,Raises Defense of a Pokémon in battle.,Battle items
X Defense 2,Sharply raises Defense of a Pokémon in battle.,Battle items
X Defense 3,Drastically raises Defense of a Pokémon in battle.,Battle items
X Defense 6,Immensely raises Defense of a Pokémon in battle.,Battle items
X Sp. Atk,Raises Special Attack of a Pokémon in battle.,Battle items
X Sp. Atk 2,Sharply raises Special Attack of a Pokémon in battle.,Battle items
X Sp. Atk 3,Drastically raises Special Attack of a Pokémon in battle.,Battle items
X Sp. Atk 6,Immensely raises Special Attack of a Pokémon in battle.,Battle items
X Sp. Def,Raises Special Defense of a Pokémon in battle.,Battle items
X Sp. Def 2,Sharply raises Special Defense of a Pokémon in battle.,Battle items
X Sp. Def 3,Drastically raises Special Defense of a Pokémon in battle.,Battle items
X Sp. Def 6,Immensely raises Special Defense of a Pokémon in battle.,Battle items
X Speed,Raises Speed of a Pokémon in battle.,Battle items
X Speed 2,Sharply raises Speed of a Pokémon in battle.,Battle items
X Speed 3,Drastically raises Speed of a Pokémon in battle.,Battle items
X Speed 6,Immensely raises Speed of a Pokémon in battle.,Battle items
Yache Berry,Weakens a supereffective Ice-type attack against the holding Pokémon.,Berries
Yarn Ball,"A small ball of yarn. It’s woven tight so as not to unravel, but even if it were to come undone, at least you could still use the yarn for something.",
Yellow Apricorn,A yellow Apricorn. It has an invigorating scent.,General items
Yellow Bell Pepper,"An ingredient with some bitterness. It’s not much different from its red counterpart in flavor, but mixing the colors makes a feast for the eyes.",
Yellow Bottle,A go-to bottle widely used for drinks at picnics. Its simple design and portability make it popular among all sorts of people.,
Yellow Cup,"A cup sold with the Yellow Bottle. The two don’t stack, so they’re tough to pack—but they look good, so they’re popular with those who like to post picnic photos.",
Yellow Dish,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The yellow variety is impossible to go wrong with.,
Yellow Flute,A toy flute made from yellow glass. A maniac will buy it for a high price.,General items
Yellow Nectar,A flower nectar obtained at Melemele Meadow. It changes the form of certain species of Pokémon.,Hold items
Yellow Scarf,Raises holder's Tough aspect in a Contest.,General items
Yellow Shard,A small yellow shard. It appears to be from some sort of implement made long ago.,General items
Yellow Tablecloth,"A simple yellow tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound.",
Yogurt,A condiment that’s very sweet and very sour. It goes especially well with fruit and is easy to incorporate into a sandwich.,
Yungoos Fur,"Material obtained after defeating/catching Yungoos, used in TM crafting.",General items
Zangoose Claw,"Material obtained after defeating/catching Zangoose, used in TM crafting.",General items
Zap Plate,Increases power of Electric-type moves. Changes Arceus' type to Electric.,Hold items
Zinc,Increases Special Defense EVs by 10.,Medicine
Zoom Lens,Raises a move's accuracy if the holder moves after its target.,Hold items
Zorua Fur,"Material obtained after defeating/catching Zorua, used in TM crafting.",General items
